EDAD;N;MEDIA;DE;P3;P10;P25;P50;P75;P90;P97
2.5;64;16.59;1.2;14.33;14.91;15.56;16.4;17.37;18.41;19.64
3;95;16.12;1.19;14.11;14.68;15.32;16.15;17.12;18.15;19.35
3.5;69;16.46;1.83;13.95;14.52;15.16;15.99;16.97;18;19.21
4;79;16.22;1.46;13.85;14.42;15.07;15.91;16.9;17.96;19.21
4.5;72;16.16;1.29;13.79;14.37;15.03;15.89;16.91;18.01;19.33
5;71;16.19;1.86;13.78;14.36;15.05;15.93;16.99;18.15;19.56
5.5;77;16.26;1.98;13.79;14.39;15.1;16.01;17.12;18.35;19.88
6;81;16.23;1.75;13.82;14.45;15.18;16.14;17.31;18.62;20.27
6.5;94;16.37;1.81;13.88;14.53;15.29;16.3;17.54;18.94;20.73
7;74;16.68;1.61;13.95;14.63;15.42;16.48;17.8;19.3;21.24
7.5;71;16.97;2.19;14.04;14.74;15.58;16.69;18.09;19.69;21.78
8;78;16.96;2.31;14.13;14.87;15.75;16.92;18.4;20.11;22.35
8.5;98;17.69;2.54;14.24;15.01;15.93;17.17;18.72;20.54;22.93
9;68;18.54;2.68;14.35;15.16;16.12;17.42;19.06;20.98;23.52
9.5;85;18.77;2.63;14.48;15.32;16.32;17.69;19.41;21.42;24.1
10;96;18.34;2.8;14.61;15.49;16.54;17.96;19.76;21.86;24.66
10.5;93;19.08;3.49;14.76;15.67;16.76;18.23;20.11;22.3;25.2
11;85;18.93;2.77;14.91;15.86;16.99;18.52;20.45;22.72;25.71
11.5;84;19.04;2.75;15.08;16.06;17.22;18.8;20.8;23.12;26.19
12;91;19.64;3.19;15.27;16.27;17.47;19.09;21.13;23.51;26.63
12.5;84;19.71;2.56;15.47;16.49;17.72;19.37;21.46;23.88;27.03
13;75;19.98;2.84;15.68;16.73;17.98;19.66;21.78;24.22;27.39
13.5;82;20.32;3.09;15.91;16.98;18.25;19.95;22.09;24.54;27.71
14;82;20.67;2.89;16.16;17.24;18.52;20.24;22.39;24.84;27.99
14.5;61;21.12;3.38;16.41;17.51;18.8;20.53;22.68;25.12;28.24
15;81;20.89;2.89;16.68;17.78;19.08;20.81;22.96;25.38;28.45
15.5;74;22.33;3.09;16.96;18.07;19.37;21.1;23.23;25.63;28.64
16;78;21.68;3.58;17.25;18.35;19.65;21.38;23.49;25.86;28.81
16.5;127;22.13;3.17;17.53;18.64;19.94;21.65;23.75;26.08;28.97
17;96;22.83;3.4;17.81;18.91;20.21;21.92;24;26.3;29.13
17.5;117;22.13;2.44;18.07;19.18;20.48;22.18;24.25;26.52;29.3
18;121;22.94;3.11;18.31;19.42;20.73;22.43;24.49;26.75;29.51
